Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
European Workshop on Modelling Autonomous Agents in a Multi-Agent World,MAAMAW,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks,ESAS,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
"European, Mediterranean and Middle Eastern Conference on Information Systems",EMCIS,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,C
European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,ejc,C,"Data management and data science, , ",Data management and data science,,,C,C,C,C,C,C,C,C,
Eurosys Conference,EuroSys,eurosys,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,A
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,emmsad,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,A
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,esws,B,"Data management and data science, , ",Data management and data science,Information Systems†,Data Format†,B,A,A,A,A,A,A,,A
Extending Database Technology,EDBT,edbt,B,"Data management and data science, , ",Data management and data science,,,A,A,A,A,A,A,A,A,A
Extreme Markup Languages,Extreme,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Eye Tracking Research and Applications,ETRA,etra,B,"Human-centred computing, Graphics, augmented reality and games, Computer vision and multimedia computation",Human-centred computing,"Graphics, augmented reality and games",Computer vision and multimedia computation,B,B,,,,,,,
FIRA Robot World Congress,FIRA,,,"Manufacturing Engineering†, , ",Manufacturing Engineering†,,,,,,C,C,C,C,C,C
Far East Workshop on Future DB Systems,FEWFDB,,,"Data Format†, , ",Data Format†,,,,,,,,,,C,B
Field Programmable Logic and Applications,FPL,fpl,B,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,,TBR,,,,,,,,
Financial Cryptography and Data Security Conference,FC,fc,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,A,A,B,B,B,B,A,A,
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements,F-and-B,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Flexible Query-Answering Systems,FQAS,fqas,C,"Data management and data science, , ",Data management and data science,,,C,C,C,C,C,C,C,C,C
Florida Artificial Intelligence Research Society Conference,FlAIRS,,National: USA,"Artificial intelligence, , ",Artificial intelligence,,,National: USA,National: USA,,,,,,C,L
Formal Methods Pacific,FMP,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
Formal Methods in Computer-Aided Design,FMCAD,fmcad,B,"Software engineering, , ",Software engineering,Electrical and Electronic Engineering†,,B,B,Unranked,Unranked,,,,,
Formal Methods in Software Engineering and Defence Systems Workshop,FMSEDS,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,C
Formal Power Series and Algebraic Combinatorics,FPSAC,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,B,B,B,B,B,A
Formal Techniques in Real-Time and Fault Tolerant Systems,FTRTFT,,,", , ",,,,,,,B,B,B,B,,B
Formal and Computational Cryptography,FCC,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
Forum on Specification and Design Languages,FDL,fdl,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,
Foundations of Aspect-Oriented Languages,FOAL,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Foundations of Genetic Algorithms,FOGA,foga,A,"Artificial intelligence, , ",Artificial intelligence,,,A,A,A*,A*,A*,A*,A*,A,A*
Foundations of Software Science and Computational Structures,FOSSACS,fossacs,B,"Theory of computation, Software engineering, ",Theory of computation,Software engineering,,A,A,A,A,A,A,C,C,B
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,fsttcs,National: India,"Theory of computation, , ",Theory of computation,,,National: India,National: India,National: India,B,B,B,B,B,A
Franco-Canadian Workshop on Combinatorial Algorithms,ComAI,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
French Conference on Knowledge Acquisition and Machine Learning,FCKAML,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,B,B
French Journées de Géométrie Algorithmique,JGA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,
French Speaking Conference on the Extraction and Management of Knowledge,EGC,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,C,
Frontiers in Education,FIE,fie,C,"Human-centred computing, , ",Human-centred computing,,,C,C,B,B,B,B,B,,B
Functional and Declarative Programming in Education,FDPE,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Fundamental Approaches to Software Engineering,FASE,fase,B,"Software engineering, , ",Software engineering,,,B,B,B,B,B,B,B,B,B
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,dimva,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,C,C,C,C,C,C,
GIS Planet Conference,GISPlanet,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Game Developers Conference,GDC,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Genetic and Evolutionary Computations,GECCO,gecco,A,"Artificial intelligence, , ",Artificial intelligence,Engineering†,,A,A,A,A,A,A,A,A,B
GeoShanghai International Conferences,GeoShanghai,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
GeoVisualization and Information Visualization,GeoViz,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
"Geometric Modelling and Imaging, International Conference (IEEE)",GMAI,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Geometry Festival: An international workshop on Discrete Geometry and Rigidity,GeomFest,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Geometry Modeling and Processing,GMP,,C,"Theory of computation, Graphics, augmented reality and games, ",Theory of computation,"Graphics, augmented reality and games",,C,B,B,B,B,B,B,B,B
German Conference on Artificial Intelligence,KI,,National/Regional,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,C,B
German Conference on Multi-Agent system Technologies,MATES,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,B,B
Global Chinese Conference on Computers in Education,GCCCE,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,L
Global Information Technology Management Association World Conference,GITMA,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,
Grace Hopper Celebration of Women in Computing,GHC,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,
Graph Drawing,GD,gd,A,"Theory of computation, , ",Theory of computation,,,A,A,A,A,A,A,A,A,A
Graphics Interface,GI,graphicsinterface,B,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,B,,,B,B,B,B,B,
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,,Unranked,"Applied computing, , ",Applied computing,Library and Information Studies†,,Unranked,Unranked,Unranked,Unranked,,,,,
Haskell Workshop,HASKELL,haskell,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,C
Hawaii International Conference on System Sciences,HICSS,hicss,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,A,B
Health Informatics Conference,HIC,,Australasian C,"Applied computing, , ",Applied computing,,,Australasian C,Australasian C,Australasian C,Australasian,Australasian,Australasian,Australasian,C,C
Healthy Buildings,HB,,,"Building†, , ",Building†,,,,,,,,,,A,
Hellenic Conference on Artificial Intelligence,SETN,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,C,
Heterogeneity in Computing Workshop,HCW,,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,B,B,B,B,B,B,B,
High Performance Computing Symposium Canada,HPCS-Canada,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,,,,,C,
High-Performance Grid Computing Workshop (part of IPDPS Conference),HPGrid,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
Hong Kong Institute of Value Management Conference,HKIVM,,,"Building†, , ",Building†,,,,,,,,,,A,
Human Factors and Ergonomics Conference (Human Factors and Ergonomics Society of Australia),HFESA,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,C,
Human Language Technologies,HLT,,,", , ",,,,,,,B,B,B,B,,B
Human System Interaction,HSI,hsi,C,"Human-centred computing, , ",Human-centred computing,,,C,C,C,C,C,C,C,C,
Human-Agent Interaction,HAI,hai,B,"Human-centred computing, , ",Human-centred computing,,,B,B,Unranked,,,,,,
Hungarian National Conference on Agent Based Computation,HUNABC,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,C,
IADIS International Conference Applied Computing,IADIS AC,,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,,C
IASTED International Conference on Applied Informatics,AI,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Applied Simulation and Modelling,ASM,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Artificial Intelligence and Soft Computing,ASC,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Computers and Advanced Technology in Education,CATE,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Intelligent Systems and Control,ISC,,,", , ",,,,,,,,,C,C,,C
"IASTED International Conference on Internet, Multimedia Systems and Applications",IMSA,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Modelling and Simulation,MS,,,", , ",,,,,,,,,C,C,,C
"IASTED International Conference on Modelling, Identification, and Control",MIC,,,", , ",,,,,,,,,C,C,,C
"IASTED International Conference on Modelling, Simulation and Optimisation",ICMSO,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,C,C,C,C
IASTED International Conference on Parallel and Distributed Computing and Networks,PDCN,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Parallel and Distributed Computing and Systems,PDCS,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Robotics and Manufacturing,RM,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Signal and Image Processing,SIP,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Software Engineering,SE,,,", , ",,,,,,,,,C,C,,C
IASTED International Conference on Software Engineering and Applications,SEA,,,", , ",,,,,,,,,C,C,,C
"IASTED International Conference on Visualization, Imaging, and Image Processing",VIIP,,,", , ",,,,,,,,,C,C,,C
"IASTED International Conferenceon AI, Exp Sys & Neural Networks",AEN,,,", , ",,,,,,,,,C,C,,C
IASTED International conference Law and Technology,LawTech,,,", , ",,,,,,,,,C,C,,C
IAVoSS Workshop On Trustworthy Elections,WOTE,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
"ICT in Education, Research, and Industrial Applications",ICTERI,icteri,National: Ukraine,"Applied computing, Data management and data science, ",Applied computing,Data management and data science,,National: Ukraine,National: Ukraine,,,,,,,
IDF Congress,IDFC,,,", , ",,,,,,,C,C,C,C,,C
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,asru,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
IEEE Bioinformatics and Bioengineering,BIBE,bibe,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,C
IEEE Computational Systems Bioinformatics Conference,CSB,,,"Computer Software†, , ",Computer Software†,,,,,,A,A,A,A,A,A
IEEE Computer Communications Workshop,CCW,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,B,B,B,B,B,B
IEEE Computer Security Foundations Symposium (was CSFW),CSF,csfw,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,A,A,A,A,A,A,A,A,
IEEE Computer Security Foundations Workshop,CSFW,,,", , ",,,,,,,,,,,,A
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,fruct,Regional,"Distributed computing and systems software, Theory of computation, ",Distributed computing and systems software,Theory of computation,,Regional,Regional,,,,,,,
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,cogsima,National:USA,"Distributed computing and systems software, , ",Distributed computing and systems software,Cognitive Science†,,National:USA,National:USA,National:USA,National:USA,,,,,
IEEE Conference on Computational Complexity,CCC,coco,A,"Theory of computation, , ",Theory of computation,,,A,A,A,A,A,B,B,B,
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,cvpr,A*,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,A*,A*,A*,A*,A,A,A,A,A
IEEE Conference on Decision and Control,CDC,cdc,,"Communications Technologies†, , ",Communications Technologies†,,,,,,A,A,A,A,A,A
IEEE Conference on Electronic Commerce Technology (merger of CEC and EEE),CEC,,,"Information Systems†, , ",Information Systems†,,,,,,,,,,C,
"IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services",CBI (was CEC/EEE),,,", , ",,,,,,,B,B,B,B,,B
"IEEE Conference on Information, Decision and Control",IDC,,,", , ",,,,,,,C,C,C,C,,C
IEEE Conference on Local Computer Networks,LCN,lcn,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,A,A,A,A,A,A,A
IEEE Conference on Mass Storage Systems and Technologies,MSST,mss,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: USA,National: USA,National: USA,C,C,C,C,C,
